what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329017515300
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329017550665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329017551124
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329017657287
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329017659470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329017660937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1329017682934
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329017684120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329017685140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329017730528
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1329017734065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329017742170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329017744898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329017806195
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329017815103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1329017828732
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1329017829093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329017843509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329017844241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329017881833
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1329017886709
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1329017894542
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329017895716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329017896534
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329018141284
