0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:58 +0530] "GET /images_custrevamp/arrow.gif HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:58 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:55:02 +0530] "GET /ipru/Resultrix/html/index.jsp HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:56:16 +0530] "GET /ipru/Resultrix/html/index.jsp HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:57:47 +0530] "GET /ipru/Resultrix/html/index.jsp HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/index.jsp HTTP/1.1" 200 22671
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/css/stylesheet.css HTTP/1.1" 200 6998
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/css/style.css HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/js/jquery.min.js HTTP/1.1" 200 78601
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/js/script.js HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/css/iepngfix/iepngfix_tilebg.js HTTP/1.1" 200 4173
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/js/fade-plugin.js HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/js/jquery.js HTTP/1.1" 200 124995
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/css/iepngfix/iepngfix.htc HTTP/1.1" 200 5227
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/icici-logo.gif HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/home.gif HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/changes_roles.gif HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/logout.gif HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/down.gif HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/arrow.gif HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/alert_update.jpg HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/box_drop_shedow.jpg HTTP/1.1" 200 8507
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/image1.png HTTP/1.1" 200 11675
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/know_more.jpg HTTP/1.1" 200 5164
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/talk_expert.jpg HTTP/1.1" 200 6171
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/ru2.jpg HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/box2.jpg HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/icare_banner2.jpg HTTP/1.1" 200 21218
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/policy_summury_top.jpg HTTP/1.1" 200 7965
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/icare_banner.jpg HTTP/1.1" 200 29428
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:59:22 +0530] "GET /ipru/Resultrix/html/images/pzay_primium.jpg HTTP/1.1" 200 4562
